Insee code,Postal code,City Name,Department,Population,Number of Building Permit,Building Score,Building class,GrandParisExpress Score,B/GPE Class,GeoPoint
94069,94410,SAINT-MAURICE,VAL-DE-MARNE,14.4,224,-0.35149823277771247,0,0.29905354077240626,1,"48.8184921372,2.4374501342"
92009,92270,BOIS-COLOMBES,HAUTS-DE-SEINE,28.2,46,-1.050918178794567,0,2.059712962472703,1,"48.9153368426,2.26738552597"
95268,95140,GARGES-LES-GONESSE,VAL-D'OISE,40.2,302,-0.7555039519793609,0,-0.16315537135820388,2,"48.9701231267,2.40534038501"
94003,94110,ARCUEIL,VAL-DE-MARNE,19.5,503,0.1628224852215694,2,2.617242509274336,3,"48.8058803597,2.33351024984"
91228,91000,EVRY,ESSONNE,52.4,753,-0.4110371935543829,0,-0.8999041172477084,2,"48.6294831659,2.44008244492"
93071,93270,SEVRAN,SEINE-SAINT-DENIS,50.0,534,-0.5963973512897015,0,1.5242743453556402,1,"48.9386070153,2.53124057567"
93079,93430,VILLETANEUSE,SEINE-SAINT-DENIS,12.8,119,-0.665871703197852,0,-0.04575618300257398,2,"48.9572976501,2.34506633651"
77305,77130,MONTEREAU-FAULT-YONNE,SEINE-ET-MARNE,16.3,288,-0.24535438239891677,0,-0.9035136627948055,2,"48.3898830911,2.96155479657"
78551,78100,SAINT-GERMAIN-EN-LAYE,YVELINES,40.9,820,-0.12579766860164385,2,-0.8975058428024875,2,"48.9407041394,2.09870929375"
92012,92100,BOULOGNE-BILLANCOURT,HAUTS-DE-SEINE,113.1,777,-0.7877722687789327,0,0.9580531966915589,1,"48.8365843138,2.23913599058"
95323,95280,JOUY-LE-MOUTIER,VAL-D'OISE,16.7,468,0.27478904601883375,2,-0.9034743339488385,2,"49.0113625056,2.03408317867"
91657,91270,VIGNEUX-SUR-SEINE,ESSONNE,27.1,418,-0.3580885076401097,0,-0.7741064811611039,2,"48.7037445355,2.42793203784"
75116,75016,PARIS-16E-ARRONDISSEMENT,PARIS,169.4,131,-1.0940098856021516,0,0.28793821328344854,1,"48.8603987604,2.2620995594"
77118,77410,CLAYE-SOUILLY,SEINE-ET-MARNE,11.1,626,1.6999365124271073,1,-0.8924435023430172,0,"48.9429697515,2.67523211808"
93057,93320,LES PAVILLONS-SOUS-BOIS,SEINE-SAINT-DENIS,21.2,829,0.83132826970358,2,0.6330362154411449,3,"48.9082060253,2.50297448267"
91286,91350,GRIGNY,ESSONNE,26.9,308,-0.5577296034434686,0,-0.8591954088766438,2,"48.6568896116,2.38789647858"
93013,93350,LE BOURGET,SEINE-SAINT-DENIS,14.3,365,0.14924044720410287,2,2.1283783182576688,3,"48.9361847458,2.42827855593"
92023,92140,CLAMART,HAUTS-DE-SEINE,52.6,5204,3.8366683068543668,3,0.24283302423647046,0,"48.7964306792,2.25474652922"
93046,93190,LIVRY-GARGAN,SEINE-SAINT-DENIS,41.2,1843,1.1140849263582118,1,0.616470198040334,3,"48.9197633213,2.53486592332"
92078,92390,VILLENEUVE-LA-GARENNE,HAUTS-DE-SEINE,24.9,137,-0.8564878263990288,0,1.1396571078551367,1,"48.9364061917,2.32448995943"
78650,78110,LE VESINET,YVELINES,16.2,632,0.8267359428368438,2,-0.8284119959331651,2,"48.8938640591,2.13039312004"
94058,94170,LE PERREUX-SUR-MARNE,VAL-DE-MARNE,32.2,1328,0.9387432401542329,2,1.330300898770704,3,"48.8423952383,2.50406848573"
77514,77270,VILLEPARISIS,SEINE-ET-MARNE,24.1,438,-0.21996005952496359,0,-0.7783025294821341,2,"48.9419981883,2.61700200964"
95598,95230,SOISY-SOUS-MONTMORENCY,VAL-D'OISE,17.2,155,-0.6801997067644827,0,-0.7420732652578679,2,"48.9884077875,2.30049978342"
75105,75005,PARIS-5E-ARRONDISSEMENT,PARIS,61.5,9,-1.1255028914890728,0,0.3903289036674767,1,"48.8445086596,2.34985938556"
94073,94320,THIAIS,VAL-DE-MARNE,29.5,958,0.49834388557506526,2,1.4689726477331164,3,"48.7607841928,2.38537729524"
95203,95600,EAUBONNE,VAL-D'OISE,23.9,534,-0.010560181227311565,2,-0.785642566776832,2,"48.9909940165,2.27800925488"
92035,92250,LA GARENNE-COLOMBES,HAUTS-DE-SEINE,27.1,699,0.16274643702000485,2,1.1803449366271757,1,"48.9067577111,2.24464604084"
93072,93240,STAINS,SEINE-SAINT-DENIS,34.0,409,-0.5286164531910269,0,0.179505011219676,1,"48.9567775699,2.3854495629"
95555,95210,SAINT-GRATIEN,VAL-D'OISE,20.3,200,-0.6379768813000655,0,-0.5197007083326417,2,"48.9689724948,2.28518003438"
92024,92110,CLICHY,HAUTS-DE-SEINE,58.2,2936,1.4010852635340978,1,2.4916446880532033,3,"48.9035359139,2.30575230452"
92002,92160,ANTONY,HAUTS-DE-SEINE,61.4,778,-0.49638899346355064,0,0.5766019052559794,1,"48.7503412602,2.2993268102"
92060,92350,LE PLESSIS-ROBINSON,HAUTS-DE-SEINE,26.6,461,-0.2623263418346044,0,-0.12427140194695054,2,"48.7804383642,2.26064286011"
75106,75006,PARIS-6E-ARRONDISSEMENT,PARIS,43.1,49,-1.0757476001564625,0,0.2825134233115356,1,"48.8489680919,2.33267089859"
92071,92330,SCEAUX,HAUTS-DE-SEINE,19.3,376,-0.15427967905708515,0,0.379134815161708,1,"48.776816369,2.29529414514"
